freq,indic_de,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,GDEATHRT_THSP,AD	3.2 	2.8 	: 	3.9 	: 	: 	: 	4.3 e	: 	4.4 	3.9 	: 
A,GDEATHRT_THSP,AL	7.0 	6.9 	6.9 	7.2 	7.1 	7.1 	7.8 	7.4 	7.7 	7.6 	7.7 	9.7 
A,GDEATHRT_THSP,AM	8.5 	8.6 	8.6 	: 	: 	: 	9.3 	9.4 	9.1 	8.7 	8.8 	12.2 
A,GDEATHRT_THSP,AT	9.3 	9.2 	9.1 	9.4 	9.4 	9.2 	9.6 	9.2 	9.5 	9.5 	9.4 	10.3 
A,GDEATHRT_THSP,AZ	5.9 	5.9 	5.9 	5.9 	5.8 	5.8 	5.7 	5.8 	5.8 	5.8 	5.6 	7.5 
A,GDEATHRT_THSP,BA	9.1 	9.1 	9.2 	9.3 	9.3 	9.1 	: 	10.1 	10.4 	10.8 p	: 	: 
A,GDEATHRT_THSP,BE	9.6 	9.7 	9.4 b	9.8 b	9.8 	9.3 	9.8 	9.5 	9.6 	9.7 	9.5 	11.0 p
A,GDEATHRT_THSP,BG	14.5 	14.9 	14.7 	15.0 	14.4 	15.1 	15.3 	15.1 	15.5 	15.4 	15.5 	18.0 
A,GDEATHRT_THSP,BY	14.1 	14.5 	14.3 	13.4 	13.2 	12.8 	12.6 	12.6 	12.6 	12.7 	12.8 	: 
A,GDEATHRT_THSP,CH	8.1 	8.0 	7.8 b	8.0 	8.0 	7.8 	8.2 	7.8 	7.9 	7.9 	7.9 	8.8 p
A,GDEATHRT_THSP,CY	6.4 	6.2 	6.5 	6.6 	6.0 	6.4 	6.9 	6.4 	7.0 	6.6 	7.1 	7.2 p
A,GDEATHRT_THSP,CZ	10.3 	10.2 	10.2 	10.3 	10.4 	10.0 	10.5 	10.2 	10.5 	10.6 	10.5 	12.1 
A,GDEATHRT_THSP,DE	10.4 	10.5 	10.6 b	10.8 	11.1 	10.7 	11.3 	11.1 	11.3 	11.5 	11.3 	11.9 
