,country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,mean,increase,increase_perc,NAME
0,AD,3.2,2.8,,3.9,,,,4.0,,4.4,3.9,,4.15,,,Andorra
1,AL,7.0,6.9,6.9,7.2,7.1,7.1,7.8,7.4,7.7,7.6,7.7,9.7,7.666666666666667,2.0333333333333323,26.521739130434767,Albania
2,AM,8.5,8.6,8.6,,,,9.3,9.4,9.1,8.7,8.8,12.2,8.866666666666665,3.333333333333334,37.59398496240601,Armenia
3,AT,9.3,9.2,9.1,9.4,9.4,9.2,9.6,9.2,9.5,9.5,9.4,10.3,9.466666666666667,0.8333333333333339,8.802816901408463,Austria
4,AZ,5.9,5.9,5.9,5.9,5.8,5.8,5.7,5.8,5.8,5.8,5.6,7.5,5.733333333333333,1.7666666666666666,30.813953488372107,Azerbaijan
5,BA,9.1,9.1,9.2,9.3,9.3,9.1,,10.1,10.4,10.0,,,10.2,,,Bosnia and Herzegovina
6,BE,9.6,9.7,9.0,9.0,9.8,9.3,9.8,9.5,9.6,9.7,9.5,11.0,9.6,1.4000000000000004,14.583333333333329,Belgium
7,BG,14.5,14.9,14.7,15.0,14.4,15.1,15.3,15.1,15.5,15.4,15.5,18.0,15.466666666666667,2.533333333333333,16.379310344827587,Bulgaria
8,BY,14.1,14.5,14.3,13.4,13.2,12.8,12.6,12.6,12.6,12.7,12.8,,12.699999999999998,,,Belarus
9,CH,8.1,8.0,7.0,8.0,8.0,7.8,8.2,7.8,7.9,7.9,7.9,8.0,7.900000000000001,0.09999999999999876,1.265822784810112,Switzerland
10,CY,6.4,6.2,6.5,6.6,6.0,6.4,6.9,6.4,7.0,6.6,7.1,7.0,6.8999999999999995,0.10000000000000053,1.4492753623188577,Cyprus
11,CZ,10.3,10.2,10.2,10.3,10.4,10.0,10.5,10.2,10.5,10.6,10.5,12.1,10.533333333333333,1.5666666666666664,14.873417721518976,Czech Republic
12,DE,10.4,10.5,10.0,10.8,11.1,10.7,11.3,11.1,11.3,11.5,11.3,11.9,11.366666666666667,0.5333333333333332,4.69208211143696,Germany
13,DK,9.9,9.8,9.4,9.4,9.3,9.1,9.2,9.2,9.2,9.5,9.3,9.4,9.333333333333334,0.06666666666666643,0.7142857142857082,Denmark
14,EA18,9.4,9.4,9.0,9.0,9.6,9.0,10.0,9.8,10.0,10.0,10.0,11.0,10.0,1.0,10.0,
15,EA19,9.4,9.4,9.0,9.0,9.7,9.0,10.0,9.8,10.0,10.0,10.0,11.0,10.0,1.0,10.0,
16,EE,12.1,11.9,11.5,11.7,11.6,11.8,11.0,11.7,11.8,11.9,11.6,11.9,11.766666666666667,0.13333333333333286,1.1331444759206875,Estonia
17,EL,9.8,9.8,10.0,10.6,10.2,10.4,11.2,11.0,11.6,11.2,11.7,12.0,11.5,0.5,4.347826086956516,Greece
18,ES,8.3,8.2,8.3,8.6,8.3,8.5,9.1,8.8,9.1,9.1,8.8,10.0,9.0,1.0,11.111111111111114,Spain
19,EU27_2007,9.7,9.0,9.0,9.0,9.9,9.0,10.0,10.0,10.0,10.0,10.0,,10.0,,,
20,EU27_2020,9.9,9.0,9.0,10.0,10.0,9.0,10.0,10.2,10.0,10.0,10.0,11.0,10.0,1.0,10.0,
21,EU28,9.8,9.0,9.0,9.0,9.9,9.0,10.0,10.0,10.0,10.0,10.0,,10.0,,,
22,FI,9.3,9.5,9.4,9.6,9.5,9.6,9.6,9.8,9.8,9.9,9.8,10.0,9.833333333333334,0.16666666666666607,1.694915254237273,Finland
23,FR,8.5,8.5,8.4,8.7,8.7,8.0,8.9,8.9,9.1,9.0,9.0,9.0,9.033333333333333,-0.033333333333333215,-0.36900369003690514,France
24,FX,8.6,8.6,8.5,8.8,,,,,,,,,,,,
25,GE,10.6,10.7,11.1,,,11.0,13.0,13.6,12.8,12.5,12.5,,12.6,,,Georgia
26,HR,12.2,12.1,11.9,12.1,11.8,12.0,12.9,12.4,12.9,12.9,12.7,14.1,12.833333333333334,1.2666666666666657,9.870129870129873,Croatia
